arithmetic_including_histogram,huffman_including_tree,arithmetic_encoding,huffman_encoding,arithmetic_time,huffman_time
2.4089604591836733,0.6513073979591837,0.2066326530612245,0.2498405612244898,1.3294157981872559,0.004303932189941406
2.381218112244898,0.6342474489795918,0.19419642857142858,0.23628826530612246,1.331291913986206,0.004061222076416016
2.3933354591836733,0.6540178571428571,0.20551658163265307,0.25191326530612246,1.307783842086792,0.003981113433837891
2.399394132653061,0.6313775510204082,0.18478954081632654,0.23278061224489796,1.3244779109954834,0.004033088684082031
2.388392857142857,0.6251594387755102,0.17283163265306123,0.2272002551020408,1.3234639167785645,0.006830930709838867
2.3941326530612246,0.6219706632653061,0.17362882653061223,0.22496811224489796,1.3258800506591797,0.003957986831665039
2.380261479591837,0.6412627551020408,0.19387755102040816,0.24091198979591838,1.3157110214233398,0.003887176513671875
2.3777104591836733,0.6281887755102041,0.1758609693877551,0.22879464285714285,1.3383939266204834,0.0039212703704833984
2.428411989795918,0.6682079081632653,0.22831632653061223,0.2635522959183674,1.320655107498169,0.0039408206939697266
2.3526785714285716,0.5548469387755102,0.11065051020408163,0.17299107142857142,1.3562119007110596,0.0039517879486083984
2.3732461734693877,0.6186224489795918,0.16517857142857142,0.22130102040816327,1.345250129699707,0.003971099853515625
2.4296875,0.6707589285714286,0.2222576530612245,0.2643494897959184,1.3046960830688477,0.003919839859008789
2.460140306122449,0.6980229591836735,0.2544642857142857,0.28683035714285715,1.3091599941253662,0.0040509700775146484
2.341358418367347,0.5970982142857143,0.13759566326530612,0.2029655612244898,1.3498129844665527,0.003913164138793945
2.386798469387755,0.623405612244898,0.1911670918367347,0.22879464285714285,1.3368828296661377,0.0041751861572265625
2.3925382653061225,0.6372767857142857,0.19610969387755103,0.2378826530612245,1.3449788093566895,0.003909111022949219
